Language,Projects
JavaScript,"freeCodeCamp/freeCodeCamp , vuejs/vue , facebook/react"
Python,"donnemartin/system-design-primer , vinta/awesome-python , public-apis/public-apis"
Ruby,"rails/rails , jekyll/jekyll , discourse/discourse"
Java,"CyC2018/CS-Notes , Snailclimb/JavaGuide , iluwatar/java-design-patterns"
PHP,"laravel/laravel , blueimp/jQuery-File-Upload , fzaninotto/Faker"
C,"torvalds/linux , netdata/netdata , antirez/redis"
C++,"tensorflow/tensorflow , electron/electron , microsoft/terminal"
Objective-C,"AFNetworking/AFNetworking , SDWebImage/SDWebImage , BradLarson/GPUImage"
C#,"shadowsocks/shadowsocks-windows , CodeHubApp/CodeHub , PowerShell/PowerShell"
Perl,"so-fancy/diff-so-fancy , brendangregg/FlameGraph , AlDanial/cloc"
Go,"golang/go , kubernetes/kubernetes , moby/moby"
CoffeeScript,"jashkenas/coffeescript , basecamp/trix , FelisCatus/SwitchyOmega"
Assembly,"chrislgarry/Apollo-11 , microsoft/MS-DOS , kanaka/mal"
TypeScript,"microsoft/vscode , microsoft/TypeScript , angular/angular"
Swift,"vsouza/awesome-ios , Alamofire/Alamofire , shadowsocks/ShadowsocksX-NG"
Scala,"apache/spark , prisma/prisma , scala/scala"
Lua,"Kong/kong , jcjohnson/neural-style , nagadomi/waifu2x"
