projects_assoc,total_commits,insertion,bug_commits,bug_insertion,assoc_langs,contributors,start,end
313,373311,103046425,105744,11333797,14,27555,2002-02-27 15:09:51+00:00,2019-12-11 16:34:32-05:00
199,331358,27223786,101082,4303277,13,28141,1990-10-13 19:23:40+00:00,2019-12-11 20:04:42+00:00
112,521955,14895369,82734,1959261,14,32668,1998-01-16 12:13:05+00:00,2019-12-11 11:38:29-08:00
132,181358,28564880,46473,3956896,13,10990,1999-11-09 12:02:22+00:00,2019-12-11 11:04:26-08:00
71,219456,18358393,75365,2412695,6,13437,1999-04-07 21:05:13+00:00,2019-12-12 02:59:33+07:00
241,1406001,158133765,451330,19471346,13,49223,1990-10-14 12:07:46+00:00,2019-12-12 10:06:47+08:00
123,366038,65504149,101246,6403123,16,15130,1998-08-18 14:52:38+00:00,2019-12-12 10:06:47+08:00
97,52657,6032456,16265,652626,9,4709,2002-07-29 21:36:35+00:00,2019-12-11 10:02:12-08:00
75,228031,39359328,62211,5185323,12,7241,2001-06-13 23:29:34+00:00,2019-12-11 16:47:38-03:00
69,42274,5356373,9643,843658,12,2155,1998-02-18 13:53:48+00:00,2019-12-10 09:42:24-08:00
68,232462,104529780,64358,8498679,11,13786,2008-03-11 17:07:25-07:00,2019-12-12 05:07:16+08:00
53,39338,1511497,10439,190567,4,3244,2009-12-25 16:20:28-08:00,2019-12-11 16:14:23+08:00
24,10259,3838241,1374,260629,16,376,1998-12-21 10:52:47+00:00,2019-12-11 14:05:34-05:00
92,199074,54983010,63334,10698418,15,20959,2010-05-18 22:40:43+12:00,2019-12-11 13:33:06-08:00
66,71009,4874402,19730,817283,6,3745,2007-04-12 20:24:50+00:00,2019-12-11 23:41:19+03:00
55,161640,12066391,39477,1910509,12,6697,2003-02-14 13:36:31+00:00,2019-12-11 12:33:58-08:00
45,40586,3483389,12021,576650,12,1782,2004-12-07 15:35:40+00:00,2019-12-11 22:05:19+02:00
